index,name,status,source_page,image_url,detector,score,face_count,sha256
24,Brayelin Martinez,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/123982,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/wfnygehcxpzkmgtqmbfs.webp,yunet@0,0.9481,1,628798820641b5d524279952590b3312d480a23ca03cfd1aad421926fdf0191a
25,Jineiry Martinez,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139910,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/fzeptgw3bbakfsncfx3h.webp,yunet@0,0.9480,1,acf391b225138e9502770239cd0d098c2ad102c531bd9b33ed5d3c3bc538074f
26,Gaila Gonzalez,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139927,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/ezavmjouvcaixftkj3ad.webp,yunet@0,0.9492,1,11fa1d0d7c2d4a9b40bbd9f158f3cf9936925f1116e324c137837f1b697189f0
27,Larysmer Martinez,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139913,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/mpbwcoquxpf5mdv2seqk.webp,yunet@0,0.9485,1,08904bab8293e815f53ba1982645e8675cdc3d5792c18e08c37a25992005bd03
28,Katielle Alonzo,replacement,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/183316,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/ximl414smbp0nzbspkfp.webp,yunet@0,0.9465,1,8cbf9187d4c257e990ab1f11024b4569df60538f52e02c8f320da429931fbee0
29,Vielka Peralta,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/151087,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_png/fivb-prd/wcdnfafxa9xbixvvwjws.png,yunet@0,0.9539,1,e5dca96bffc38af4af3e05fea47a41ba2bc92ca30712ef4b10b5bafaa45b8088
30,Ariana Rodriguez Fung,replacement,https://en.volleyballworld.com/volleyball/competitions/women-u21-world-championship/2023/players/181899,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/d04dkyuccjqd5asltkxt.webp,yunet@0,0.9421,1,37b7f51754e8a2f8e99a9ba504a44740bbaaef640ec5504b5217d03c4111c4f4
31,Angelica Hinojosa,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/143961,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_png/fivb-prd/dc7qja1j4dol68eoof06.png,yunet@0,0.9392,1,8961e2de67d028dd9838dc79d32ac91fe1d166302188d6cfb09ba3b4e2f75090
32,Natalia Martinez,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/139923,https://upload.wikimedia.org/wikipedia/commons/b/b9/Jessica_Martinez.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,yunet@0,0.9108,1,a3b6215716781f7d1e502ee1b7b3edc646d272884f5c93d7c4ffd8897918fec2
33,Madeline Guillen,replacement,https://en.volleyballworld.com/volleyball/competitions/women-world-championship/2022/players/149531,https://images.volleyballworld.com/image/upload/t_editorial_squared_6_desktop/f_auto/fivb-prd/dmyvadjnlwad5b5pz4zq.webp,yunet@0,0.9545,1,7fdaadd1c4e0be117ce5f110744e9901691fbddd28a2879a5ba43cbeddae8729
